,Unnamed: 0,file,video,start,end,dur,activity,person_ID,inside,outside,pose,gaze
24,24,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_87_89_ID_1,2019_0624_095026_159A.MP4_87_89_ID_1,2019_0624_095026_160B.MP4_87_89_ID_1_pose,2019_0624_095026_160B.MP4_87_89_ID_1_gaze
25,25,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_89_91_ID_1,2019_0624_095026_159A.MP4_89_91_ID_1,2019_0624_095026_160B.MP4_89_91_ID_1_pose,2019_0624_095026_160B.MP4_89_91_ID_1_gaze
26,26,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_91_93_ID_1,2019_0624_095026_159A.MP4_91_93_ID_1,2019_0624_095026_160B.MP4_91_93_ID_1_pose,2019_0624_095026_160B.MP4_91_93_ID_1_gaze
27,27,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_93_95_ID_1,2019_0624_095026_159A.MP4_93_95_ID_1,2019_0624_095026_160B.MP4_93_95_ID_1_pose,2019_0624_095026_160B.MP4_93_95_ID_1_gaze
28,28,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_95_97_ID_1,2019_0624_095026_159A.MP4_95_97_ID_1,2019_0624_095026_160B.MP4_95_97_ID_1_pose,2019_0624_095026_160B.MP4_95_97_ID_1_gaze
29,29,2019_0624_095026_160B.MP4_77_99_ID_1,2019_0624_095026_160B.MP4,77,99,22,eating,1,2019_0624_095026_160B.MP4_97_99_ID_1,2019_0624_095026_159A.MP4_97_99_ID_1,2019_0624_095026_160B.MP4_97_99_ID_1_pose,2019_0624_095026_160B.MP4_97_99_ID_1_gaze
30,30,2019_0624_095026_160B.MP4_110_112_ID_1,2019_0624_095026_160B.MP4,110,112,2,eating,1,2019_0624_095026_160B.MP4_110_112_ID_1,2019_0624_095026_159A.MP4_110_112_ID_1,2019_0624_095026_160B.MP4_110_112_ID_1_pose,2019_0624_095026_160B.MP4_110_112_ID_1_gaze
31,31,2019_0624_095026_160B.MP4_122_124_ID_1,2019_0624_095026_160B.MP4,122,124,2,checking mirror driver,1,2019_0624_095026_160B.MP4_122_124_ID_1,2019_0624_095026_159A.MP4_122_124_ID_1,2019_0624_095026_160B.MP4_122_124_ID_1_pose,2019_0624_095026_160B.MP4_122_124_ID_1_gaze
32,32,2019_0624_095026_160B.MP4_130_135_ID_1,2019_0624_095026_160B.MP4,130,135,5,eating,1,2019_0624_095026_160B.MP4_130_132_ID_1,2019_0624_095026_159A.MP4_130_132_ID_1,2019_0624_095026_160B.MP4_130_132_ID_1_pose,2019_0624_095026_160B.MP4_130_132_ID_1_gaze
33,33,2019_0624_095026_160B.MP4_130_135_ID_1,2019_0624_095026_160B.MP4,130,135,5,eating,1,2019_0624_095026_160B.MP4_132_134_ID_1,2019_0624_095026_159A.MP4_132_134_ID_1,2019_0624_095026_160B.MP4_132_134_ID_1_pose,2019_0624_095026_160B.MP4_132_134_ID_1_gaze
34,34,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_125_127_ID_1,2019_0624_095026_159A.MP4_125_127_ID_1,2019_0624_095026_160B.MP4_125_127_ID_1_pose,2019_0624_095026_160B.MP4_125_127_ID_1_gaze
35,35,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_127_129_ID_1,2019_0624_095026_159A.MP4_127_129_ID_1,2019_0624_095026_160B.MP4_127_129_ID_1_pose,2019_0624_095026_160B.MP4_127_129_ID_1_gaze
36,36,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_129_131_ID_1,2019_0624_095026_159A.MP4_129_131_ID_1,2019_0624_095026_160B.MP4_129_131_ID_1_pose,2019_0624_095026_160B.MP4_129_131_ID_1_gaze
37,37,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_131_133_ID_1,2019_0624_095026_159A.MP4_131_133_ID_1,2019_0624_095026_160B.MP4_131_133_ID_1_pose,2019_0624_095026_160B.MP4_131_133_ID_1_gaze
38,38,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_133_135_ID_1,2019_0624_095026_159A.MP4_133_135_ID_1,2019_0624_095026_160B.MP4_133_135_ID_1_pose,2019_0624_095026_160B.MP4_133_135_ID_1_gaze
39,39,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_135_137_ID_1,2019_0624_095026_159A.MP4_135_137_ID_1,2019_0624_095026_160B.MP4_135_137_ID_1_pose,2019_0624_095026_160B.MP4_135_137_ID_1_gaze
40,40,2019_0624_095026_160B.MP4_125_139_ID_1,2019_0624_095026_160B.MP4,125,139,14,drinking,1,2019_0624_095026_160B.MP4_137_139_ID_1,2019_0624_095026_159A.MP4_137_139_ID_1,2019_0624_095026_160B.MP4_137_139_ID_1_pose,2019_0624_095026_160B.MP4_137_139_ID_1_gaze
41,41,2019_0624_095026_160B.MP4_154_159_ID_1,2019_0624_095026_160B.MP4,154,159,5,eating,1,2019_0624_095026_160B.MP4_154_156_ID_1,2019_0624_095026_159A.MP4_154_156_ID_1,2019_0624_095026_160B.MP4_154_156_ID_1_pose,2019_0624_095026_160B.MP4_154_156_ID_1_gaze
42,42,2019_0624_095026_160B.MP4_154_159_ID_1,2019_0624_095026_160B.MP4,154,159,5,eating,1,2019_0624_095026_160B.MP4_156_158_ID_1,2019_0624_095026_159A.MP4_156_158_ID_1,2019_0624_095026_160B.MP4_156_158_ID_1_pose,2019_0624_095026_160B.MP4_156_158_ID_1_gaze
43,43,2019_0624_095026_160B.MP4_166_172_ID_1,2019_0624_095026_160B.MP4,166,172,6,eating,1,2019_0624_095026_160B.MP4_166_168_ID_1,2019_0624_095026_159A.MP4_166_168_ID_1,2019_0624_095026_160B.MP4_166_168_ID_1_pose,2019_0624_095026_160B.MP4_166_168_ID_1_gaze
44,44,2019_0624_095026_160B.MP4_166_172_ID_1,2019_0624_095026_160B.MP4,166,172,6,eating,1,2019_0624_095026_160B.MP4_168_170_ID_1,2019_0624_095026_159A.MP4_168_170_ID_1,2019_0624_095026_160B.MP4_168_170_ID_1_pose,2019_0624_095026_160B.MP4_168_170_ID_1_gaze
45,45,2019_0624_095026_160B.MP4_166_172_ID_1,2019_0624_095026_160B.MP4,166,172,6,eating,1,2019_0624_095026_160B.MP4_170_172_ID_1,2019_0624_095026_159A.MP4_170_172_ID_1,2019_0624_095026_160B.MP4_170_172_ID_1_pose,2019_0624_095026_160B.MP4_170_172_ID_1_gaze
46,46,2019_0624_095026_160B.MP4_181_189_ID_1,2019_0624_095026_160B.MP4,181,189,8,eating,1,2019_0624_095026_160B.MP4_181_183_ID_1,2019_0624_095026_159A.MP4_181_183_ID_1,2019_0624_095026_160B.MP4_181_183_ID_1_pose,2019_0624_095026_160B.MP4_181_183_ID_1_gaze
47,47,2019_0624_095026_160B.MP4_181_189_ID_1,2019_0624_095026_160B.MP4,181,189,8,eating,1,2019_0624_095026_160B.MP4_183_185_ID_1,2019_0624_095026_159A.MP4_183_185_ID_1,2019_0624_095026_160B.MP4_183_185_ID_1_pose,2019_0624_095026_160B.MP4_183_185_ID_1_gaze
48,48,2019_0624_095026_160B.MP4_181_189_ID_1,2019_0624_095026_160B.MP4,181,189,8,eating,1,2019_0624_095026_160B.MP4_185_187_ID_1,2019_0624_095026_159A.MP4_185_187_ID_1,2019_0624_095026_160B.MP4_185_187_ID_1_pose,2019_0624_095026_160B.MP4_185_187_ID_1_gaze
49,49,2019_0624_095026_160B.MP4_181_189_ID_1,2019_0624_095026_160B.MP4,181,189,8,eating,1,2019_0624_095026_160B.MP4_187_189_ID_1,2019_0624_095026_159A.MP4_187_189_ID_1,2019_0624_095026_160B.MP4_187_189_ID_1_pose,2019_0624_095026_160B.MP4_187_189_ID_1_gaze
50,50,2019_0624_095026_160B.MP4_204_207_ID_1,2019_0624_095026_160B.MP4,204,207,3,checking speed stack,1,2019_0624_095026_160B.MP4_204_207_ID_1,2019_0624_095026_159A.MP4_204_207_ID_1,2019_0624_095026_160B.MP4_204_206_ID_1_pose,2019_0624_095026_160B.MP4_204_206_ID_1_gaze
51,51,2019_0710_091655_254B.MP4_8_14_ID_1,2019_0710_091655_254B.MP4,8,14,6,fasten seatbelt,1,2019_0710_091655_254B.MP4_8_10_ID_1,2019_0710_091655_253A.MP4_8_10_ID_1,2019_0710_091655_254B.MP4_8_10_ID_1_pose,2019_0710_091655_254B.MP4_8_10_ID_1_gaze
52,52,2019_0710_091655_254B.MP4_8_14_ID_1,2019_0710_091655_254B.MP4,8,14,6,fasten seatbelt,1,2019_0710_091655_254B.MP4_10_12_ID_1,2019_0710_091655_253A.MP4_10_12_ID_1,2019_0710_091655_254B.MP4_10_12_ID_1_pose,2019_0710_091655_254B.MP4_10_12_ID_1_gaze
53,53,2019_0710_091655_254B.MP4_8_14_ID_1,2019_0710_091655_254B.MP4,8,14,6,fasten seatbelt,1,2019_0710_091655_254B.MP4_12_14_ID_1,2019_0710_091655_253A.MP4_12_14_ID_1,2019_0710_091655_254B.MP4_12_14_ID_1_pose,2019_0710_091655_254B.MP4_12_14_ID_1_gaze
54,54,2019_0710_091655_254B.MP4_3540_63_ID_1,2019_0710_091655_254B.MP4,3540,63,-3477,checking speed stack,1,2019_0710_091655_254B.MP4_3540_63_ID_1,2019_0710_091655_253A.MP4_3540_63_ID_1,2019_0710_091655_254B.MP4_3540_63_ID_1_pose,2019_0710_091655_254B.MP4_3540_63_ID_1_gaze
55,55,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_86_88_ID_1,2019_0710_091655_253A.MP4_86_88_ID_1,2019_0710_091655_254B.MP4_86_88_ID_1_pose,2019_0710_091655_254B.MP4_86_88_ID_1_gaze
56,56,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_88_90_ID_1,2019_0710_091655_253A.MP4_88_90_ID_1,2019_0710_091655_254B.MP4_88_90_ID_1_pose,2019_0710_091655_254B.MP4_88_90_ID_1_gaze
57,57,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_90_92_ID_1,2019_0710_091655_253A.MP4_90_92_ID_1,2019_0710_091655_254B.MP4_90_92_ID_1_pose,2019_0710_091655_254B.MP4_90_92_ID_1_gaze
58,58,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_92_94_ID_1,2019_0710_091655_253A.MP4_92_94_ID_1,2019_0710_091655_254B.MP4_92_94_ID_1_pose,2019_0710_091655_254B.MP4_92_94_ID_1_gaze
59,59,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_94_96_ID_1,2019_0710_091655_253A.MP4_94_96_ID_1,2019_0710_091655_254B.MP4_94_96_ID_1_pose,2019_0710_091655_254B.MP4_94_96_ID_1_gaze
60,60,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_96_98_ID_1,2019_0710_091655_253A.MP4_96_98_ID_1,2019_0710_091655_254B.MP4_96_98_ID_1_pose,2019_0710_091655_254B.MP4_96_98_ID_1_gaze
61,61,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_98_100_ID_1,2019_0710_091655_253A.MP4_98_100_ID_1,2019_0710_091655_254B.MP4_98_100_ID_1_pose,2019_0710_091655_254B.MP4_98_100_ID_1_gaze
62,62,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_100_102_ID_1,2019_0710_091655_253A.MP4_100_102_ID_1,2019_0710_091655_254B.MP4_100_102_ID_1_pose,2019_0710_091655_254B.MP4_100_102_ID_1_gaze
63,63,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_102_104_ID_1,2019_0710_091655_253A.MP4_102_104_ID_1,2019_0710_091655_254B.MP4_102_104_ID_1_pose,2019_0710_091655_254B.MP4_102_104_ID_1_gaze
64,64,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_104_106_ID_1,2019_0710_091655_253A.MP4_104_106_ID_1,2019_0710_091655_254B.MP4_104_106_ID_1_pose,2019_0710_091655_254B.MP4_104_106_ID_1_gaze
65,65,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_106_108_ID_1,2019_0710_091655_253A.MP4_106_108_ID_1,2019_0710_091655_254B.MP4_106_108_ID_1_pose,2019_0710_091655_254B.MP4_106_108_ID_1_gaze
66,66,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_108_110_ID_1,2019_0710_091655_253A.MP4_108_110_ID_1,2019_0710_091655_254B.MP4_108_110_ID_1_pose,2019_0710_091655_254B.MP4_108_110_ID_1_gaze
67,67,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_110_112_ID_1,2019_0710_091655_253A.MP4_110_112_ID_1,2019_0710_091655_254B.MP4_110_112_ID_1_pose,2019_0710_091655_254B.MP4_110_112_ID_1_gaze
68,68,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_112_114_ID_1,2019_0710_091655_253A.MP4_112_114_ID_1,2019_0710_091655_254B.MP4_112_114_ID_1_pose,2019_0710_091655_254B.MP4_112_114_ID_1_gaze
69,69,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_114_116_ID_1,2019_0710_091655_253A.MP4_114_116_ID_1,2019_0710_091655_254B.MP4_114_116_ID_1_pose,2019_0710_091655_254B.MP4_114_116_ID_1_gaze
70,70,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_116_118_ID_1,2019_0710_091655_253A.MP4_116_118_ID_1,2019_0710_091655_254B.MP4_116_118_ID_1_pose,2019_0710_091655_254B.MP4_116_118_ID_1_gaze
71,71,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_118_120_ID_1,2019_0710_091655_253A.MP4_118_120_ID_1,2019_0710_091655_254B.MP4_118_120_ID_1_pose,2019_0710_091655_254B.MP4_118_120_ID_1_gaze
72,72,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_120_122_ID_1,2019_0710_091655_253A.MP4_120_122_ID_1,2019_0710_091655_254B.MP4_120_122_ID_1_pose,2019_0710_091655_254B.MP4_120_122_ID_1_gaze
73,73,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_122_124_ID_1,2019_0710_091655_253A.MP4_122_124_ID_1,2019_0710_091655_254B.MP4_122_124_ID_1_pose,2019_0710_091655_254B.MP4_122_124_ID_1_gaze
74,74,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_124_126_ID_1,2019_0710_091655_253A.MP4_124_126_ID_1,2019_0710_091655_254B.MP4_124_126_ID_1_pose,2019_0710_091655_254B.MP4_124_126_ID_1_gaze
75,75,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_126_128_ID_1,2019_0710_091655_253A.MP4_126_128_ID_1,2019_0710_091655_254B.MP4_126_128_ID_1_pose,2019_0710_091655_254B.MP4_126_128_ID_1_gaze
76,76,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_128_130_ID_1,2019_0710_091655_253A.MP4_128_130_ID_1,2019_0710_091655_254B.MP4_128_130_ID_1_pose,2019_0710_091655_254B.MP4_128_130_ID_1_gaze
77,77,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_130_132_ID_1,2019_0710_091655_253A.MP4_130_132_ID_1,2019_0710_091655_254B.MP4_130_132_ID_1_pose,2019_0710_091655_254B.MP4_130_132_ID_1_gaze
78,78,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_132_134_ID_1,2019_0710_091655_253A.MP4_132_134_ID_1,2019_0710_091655_254B.MP4_132_134_ID_1_pose,2019_0710_091655_254B.MP4_132_134_ID_1_gaze
79,79,2019_0710_091655_254B.MP4_86_137_ID_1,2019_0710_091655_254B.MP4,86,137,51,working with phone,1,2019_0710_091655_254B.MP4_134_136_ID_1,2019_0710_091655_253A.MP4_134_136_ID_1,2019_0710_091655_254B.MP4_134_136_ID_1_pose,2019_0710_091655_254B.MP4_134_136_ID_1_gaze
80,80,2019_0710_091655_254B.MP4_106_109_ID_1,2019_0710_091655_254B.MP4,106,109,3,checking mirror driver,1,2019_0710_091655_254B.MP4_106_109_ID_1,2019_0710_091655_253A.MP4_106_109_ID_1,2019_0710_091655_254B.MP4_106_108_ID_1_pose,2019_0710_091655_254B.MP4_106_108_ID_1_gaze
81,81,2019_0710_091655_254B.MP4_109_111_ID_1,2019_0710_091655_254B.MP4,109,111,2,checking mirror middle,1,2019_0710_091655_254B.MP4_109_111_ID_1,2019_0710_091655_253A.MP4_109_111_ID_1,2019_0710_091655_254B.MP4_109_111_ID_1_pose,2019_0710_091655_254B.MP4_109_111_ID_1_gaze
82,82,2019_0710_091655_254B.MP4_114_117_ID_1,2019_0710_091655_254B.MP4,114,117,3,checking mirror driver,1,2019_0710_091655_254B.MP4_114_117_ID_1,2019_0710_091655_253A.MP4_114_117_ID_1,2019_0710_091655_254B.MP4_114_116_ID_1_pose,2019_0710_091655_254B.MP4_114_116_ID_1_gaze
83,83,2019_0710_091655_254B.MP4_121_124_ID_1,2019_0710_091655_254B.MP4,121,124,3,checking mirror driver,1,2019_0710_091655_254B.MP4_121_124_ID_1,2019_0710_091655_253A.MP4_121_124_ID_1,2019_0710_091655_254B.MP4_121_123_ID_1_pose,2019_0710_091655_254B.MP4_121_123_ID_1_gaze
